,Time,Price
0,2024-11-24 05:00:00+01:00,2.0
1,2024-11-24 06:00:00+01:00,2.79
2,2024-11-24 07:00:00+01:00,3.22
3,2024-11-24 08:00:00+01:00,3.23
4,2024-11-24 09:00:00+01:00,3.99
5,2024-11-24 10:00:00+01:00,3.3
6,2024-11-24 11:00:00+01:00,3.38
7,2024-11-24 12:00:00+01:00,3.26
8,2024-11-24 13:00:00+01:00,3.04
9,2024-11-24 14:00:00+01:00,3.27
10,2024-11-24 15:00:00+01:00,6.45
11,2024-11-24 16:00:00+01:00,13.98
12,2024-11-24 17:00:00+01:00,15.51
13,2024-11-24 18:00:00+01:00,16.17
14,2024-11-24 19:00:00+01:00,12.02
15,2024-11-24 20:00:00+01:00,7.4
16,2024-11-24 21:00:00+01:00,4.49
17,2024-11-24 22:00:00+01:00,3.27
18,2024-11-24 23:00:00+01:00,0.01
